	glyph	ASCII_code	width	height	darkness	CMDS1	CMDS2
61	]	93	10	19	0.13157894736842105	0.06937492241826886	0.06604816146233077
62	^	94	10	15	0.06842105263157895	-7.454655532420196e-05	-0.00973594300819333
63	_	95	10	18	0.042105263157894736	-0.004037350634788153	0.027062592358767498
64	`	96	10	15	0.021052631578947368	0.005122288167117474	0.010283886540023492
65	a	97	10	15	0.12631578947368421	-0.06359948009874772	-0.026225616776964267
66	b	98	10	15	0.1368421052631579	-0.05949409387783866	-0.04396924003255246
67	c	99	10	15	0.1	-0.019003703052274872	-0.03891420985358959
68	d	100	10	15	0.14210526315789473	-0.01807390575109309	-0.06899892415619965
69	e	101	10	15	0.13157894736842105	-0.040570850861184095	-0.05418582800054724
70	f	102	10	15	0.12631578947368421	-0.04961071113828462	-0.024524544273491992
71	g	103	10	18	0.15263157894736842	-0.04158039328464136	-0.07889198106418208
72	h	104	10	15	0.12631578947368421	-0.022838290660670144	-0.06949820198943718
73	i	105	10	15	0.1	-0.018659950606907102	-0.01797103564401863
74	j	106	10	18	0.11052631578947368	-0.071218533905847	0.022057469915847876
75	k	107	10	15	0.11578947368421053	-0.01702627046568964	0.06896753001856293
76	l	108	10	15	0.07894736842105263	-0.008533496177753713	-0.009255440963035311
77	m	109	10	15	0.14736842105263157	-0.07649870218901086	0.07315881953816834
78	n	110	10	15	0.10526315789473684	-0.056093205755223745	-0.007158726298917865
79	o	111	10	15	0.10526315789473684	-0.021137563394171437	-0.047879764209377736
80	p	112	10	18	0.14210526315789473	-0.06840742529584021	-0.04758011756610682
81	q	113	10	18	0.13157894736842105	-0.03204646170625775	-0.0635452683793558
82	r	114	10	15	0.11052631578947368	-0.04574082787241363	-0.019807355526594406
83	s	115	10	15	0.11052631578947368	-0.03241391905686023	-0.03244084110569578
84	t	116	10	15	0.10526315789473684	-0.04062683787749246	-0.02663153662498061
85	u	117	10	15	0.11578947368421053	-0.05247566733612926	-0.014534546755026788
86	v	118	10	15	0.07894736842105263	-0.028467326616954128	0.02771079229479248
87	w	119	10	15	0.11578947368421053	0.004814605827278569	-0.053999957191229714
88	x	120	10	15	0.07368421052631578	-0.012617451393403903	0.032511810562587465
89	y	121	10	18	0.11052631578947368	-0.005161787022542528	0.0722648119495894
90	z	122	10	15	0.10526315789473684	-0.033948154402772414	-0.0164925953954957
91	{	123	10	19	0.11052631578947368	0.023538202405181625	0.07821315151498277
92	|	124	10	17	0.06842105263157895	0.008113556430913592	0.036358028586108745
93	}	125	10	19	0.11052631578947368	0.0019809930376710025	-0.04877482518255217
94	~	126	10	15	0.03684210526315789	-0.002514957875178622	0.008085396606431037
