	glyph	ASCII_code	width	height	darkness	CMDS1	CMDS2
71	g	103	22	37	0.07840909090909091	-0.04294699953644368	0.029159951828948885
72	h	104	22	30	0.06818181818181818	0.02841072984604984	0.0159541358776512
73	i	105	22	30	0.04772727272727273	-0.0023200571777550493	-0.015523154872522647
74	j	106	22	37	0.053409090909090906	0.015522786215012074	-0.02999586387323741
75	k	107	22	30	0.06363636363636363	0.006793608468105259	-0.04066020985040261
76	l	108	22	30	0.04659090909090909	-0.005321513271833464	-0.014529286838361454
77	m	109	22	30	0.07840909090909091	0.027853757109739457	-0.043619009165617235
78	n	110	22	30	0.06136363636363636	0.010478453450854689	-0.03401892213723233
79	o	111	22	30	0.04772727272727273	-0.020892803406511354	0.010973950770394725
80	p	112	22	37	0.07954545454545454	-0.018472737732634942	-0.0498111653961875
81	q	113	22	37	0.07954545454545454	-0.0354430191536209	0.03782748124959707
82	r	114	22	30	0.048863636363636366	0.015802569269050777	-0.012167452939331053
83	s	115	22	30	0.0625	-0.028445303524935732	-0.0201039623388044
84	t	116	22	30	0.048863636363636366	-0.012442645187256877	0.01334609576066777
85	u	117	22	30	0.05454545454545454	-0.015084014240600303	0.020353051275869977
86	v	118	22	30	0.04772727272727273	0.02046502949811603	0.004114192462736951
87	w	119	22	30	0.0659090909090909	0.037911970397022675	-0.022141418198714763
88	x	120	22	30	0.060227272727272727	0.025839439168731333	-0.022267008637771826
89	y	121	22	37	0.06363636363636363	0.039295545829595956	0.005377851051320981
90	z	122	22	30	0.05454545454545454	0.013896558285029368	-0.020423536628680697
91	{	123	22	35	0.038636363636363635	-0.010996333334102507	-0.009315813682282922
92	|	124	22	35	0.03068181818181818	-0.0074068943217399374	-0.006200638348468163
93	}	125	22	35	0.038636363636363635	0.006016403956363759	0.009973589159114681
94	~	126	22	30	0.028409090909090908	0.006885646953810486	0.002148532995434416
